id,frequency,last_donation,blood_group,sex,distance
44130,3.37,24,A+,M,7
44439,3.37,23,0+,M,14
44537,3.37,68,0+,M,0
44820,3.37,111,A+,M,6
40660,3.36,82,A+,M,16
41326,3.36,30,A+,M,12
41812,3.36,30,A+,M,8
42125,3.36,30,A+,M,14
42245,3.36,41,0+,M,15
42377,3.36,48,A-,M,10
42515,3.36,106,AB+,M,9
42540,3.36,101,A+,M,9
42864,3.36,71,0+,M,16
43007,3.36,107,AB+,M,10
43052,3.36,87,0+,M,30
43985,3.36,3,0+,M,1
44561,3.36,76,0+,M,21
40479,3.35,51,0-,M,27
40881,3.35,103,B+,M,16
41191,3.35,56,0-,M,9
41379,3.35,69,A+,M,20
41691,3.35,41,0-,M,11
41717,3.35,50,B+,M,25
42082,3.35,126,A-,M,21
42309,3.35,31,A-,M,15
43265,3.35,67,A-,M,22
43371,3.35,34,A+,M,23
43733,3.35,37,0+,M,3
44916,3.35,79,0+,M,11
40658,3.34,117,0+,M,8
41578,3.34,58,A+,M,17
41788,3.34,116,0+,M,0
41793,3.34,23,AB+,M,24
41941,3.34,87,0+,M,25
42230,3.34,103,B+,M,3
42596,3.34,102,AB+,M,11
42804,3.34,113,0-,M,17
43334,3.34,127,A+,M,9
43361,3.34,101,0+,M,28
43395,3.34,100,A+,M,24
41243,3.33,45,A+,M,25
41442,3.33,68,B-,M,12
42315,3.33,94,0+,M,10
43375,3.33,103,B+,M,27
43555,3.33,29,B-,M,28
43778,3.33,80,B+,M,17
43990,3.33,135,B-,M,19
44220,3.33,78,A-,M,9
44847,3.33,64,A+,M,11
40887,3.32,124,A-,M,10
42844,3.32,76,A-,M,27
43208,3.32,33,0+,M,30
43264,3.32,74,A+,M,20
43491,3.32,101,A-,M,9
44591,3.32,44,AB-,M,8
44919,3.32,102,A+,M,6
40942,3.31,97,A+,M,9
41113,3.31,34,AB+,M,12
41231,3.31,118,B+,M,6
41767,3.31,19,B+,M,18
43307,3.31,103,0+,M,27
44189,3.31,99,0-,M,29
44275,3.31,67,0+,M,7
44314,3.31,46,AB-,M,15
44355,3.31,1,0+,M,1
44672,3.31,31,A+,M,26
44761,3.31,52,0+,M,4
44764,3.31,40,0+,M,17
44788,3.31,13,A+,M,19
40550,3.30,57,0-,M,16
40571,3.30,53,AB-,M,2
40590,3.30,64,A+,M,3
41054,3.30,33,AB+,M,12
41167,3.30,86,B+,M,30
41316,3.30,69,0+,M,15
41436,3.30,9,0-,M,1
41671,3.30,76,AB+,M,21
42065,3.30,70,0+,M,25
42180,3.30,83,0-,M,4
42398,3.30,79,0+,M,21
43322,3.30,98,0+,M,11
43383,3.30,114,A+,M,3
44804,3.30,94,0+,M,29
44931,3.30,54,A+,M,5
41187,3.29,31,0+,M,9
41292,3.29,5,0+,M,7
41327,3.29,59,0-,M,14
41857,3.29,127,A+,M,24
42573,3.29,84,AB-,M,26
43256,3.29,105,A-,M,4
43294,3.29,38,AB+,M,23
43320,3.29,88,0-,M,9
43414,3.29,81,0+,M,7
43704,3.29,101,0+,M,22
43943,3.29,9,A+,M,20
44088,3.29,21,A+,M,17
44199,3.29,66,0+,M,30
44232,3.29,2,A+,M,15
40917,3.28,77,A+,M,14
41437,3.28,101,0+,M,10
42778,3.28,18,A+,M,18
44223,3.28,59,0+,M,26
41614,3.27,111,A+,M,8
41630,3.27,112,A+,M,28
42951,3.27,123,A+,M,16
43484,3.27,53,0+,M,6
43508,3.27,20,0+,M,9
43565,3.27,76,0-,M,18
44659,3.27,57,0+,M,8
44898,3.27,68,0+,M,13
42104,3.26,112,A-,M,16
42254,3.26,127,A+,M,17
42449,3.26,126,A+,M,21
42849,3.26,73,A+,M,20
43331,3.26,4,A+,M,17
43707,3.26,29,A-,M,22
44755,3.26,66,A+,M,28
40541,3.25,36,A+,M,4
41090,3.25,3,A+,M,30
41911,3.25,127,A+,M,16
42627,3.25,73,A+,M,3
42735,3.25,47,A-,M,21
43475,3.25,86,0+,M,6
43851,3.25,48,A+,M,29
43860,3.25,78,A+,M,0
43942,3.25,2,0+,M,29
40600,3.24,87,0+,M,20
41495,3.24,95,AB+,M,23
41869,3.24,12,A-,M,19
42308,3.24,92,A-,M,10
43346,3.24,109,B-,M,29
43552,3.24,58,A-,M,2
44349,3.24,62,B-,M,4
44593,3.24,99,B-,M,14
44655,3.24,11,0+,M,27
44833,3.24,126,0+,M,13
41136,3.23,102,A+,M,6
41690,3.23,83,AB+,M,10
42031,3.23,98,A-,M,29
42793,3.23,121,0+,M,4
43059,3.23,40,A+,M,29
43710,3.23,24,0+,M,22
44444,3.23,110,0+,M,20
41669,3.22,18,0+,M,6
41710,3.22,83,0+,M,13
42169,3.22,32,A+,M,5
44611,3.22,28,B-,M,8
41089,3.21,41,A-,M,19
41245,3.21,48,0+,M,22
42544,3.21,11,0+,M,24
43433,3.21,130,0+,M,2
44022,3.21,41,0+,M,23
44049,3.21,102,0+,M,5
44064,3.21,4,0+,M,5
44862,3.21,57,0+,M,8
44903,3.21,100,A+,M,6
40511,3.20,60,0+,M,23
41521,3.20,34,A-,M,4
41698,3.20,123,0+,M,15
42508,3.20,11,A-,M,23
42946,3.20,9,0+,M,24
44879,3.20,88,A+,M,30
41100,3.19,51,0+,M,17
41147,3.19,61,A+,M,25
42183,3.19,108,0+,M,28
42300,3.19,140,0+,M,12
42753,3.19,8,B-,M,24
43170,3.19,48,0+,M,23
43516,3.19,19,A+,M,15
44722,3.19,83,A+,M,16
44920,3.19,78,0-,M,28
40662,3.18,73,0+,M,26
40825,3.18,81,A+,M,15
41465,3.18,92,A+,M,7
43342,3.18,21,0+,M,28
44539,3.18,40,A+,M,28
40809,3.17,83,A+,M,10
41049,3.17,120,0+,M,12
41981,3.17,44,A-,M,16
42797,3.17,98,A+,M,5
43167,3.17,40,0-,M,4
43213,3.17,53,0+,M,18
43284,3.17,32,0+,M,5
41099,3.16,70,0+,M,3
42148,3.16,77,B-,M,4
42639,3.16,71,0-,M,22
42672,3.16,15,B-,M,14
42972,3.16,119,0+,M,23
43913,3.16,110,A-,M,24
40800,3.15,92,B-,M,7
42191,3.15,88,0+,M,19
42820,3.15,74,A+,M,20
43043,3.15,96,A+,M,19
43896,3.15,45,0+,M,28
44010,3.15,82,A+,M,17
44559,3.15,123,A+,M,26
41383,3.14,98,B-,M,27
42023,3.14,111,B+,M,5
42464,3.14,45,A-,M,21
42971,3.14,77,0+,M,12
43130,3.14,93,0+,M,8
43132,3.14,96,B+,M,0
43381,3.14,21,A+,M,16
43423,3.14,55,0+,M,14
44601,3.14,46,0+,M,14
41987,3.13,86,A+,M,16
42289,3.13,104,B-,M,24
42736,3.13,113,A-,M,2
43357,3.13,2,0+,M,4
43819,3.13,53,0+,M,18
44186,3.13,116,0+,M,11
44295,3.13,130,A+,M,10
44771,3.13,59,0+,M,13
41195,3.12,114,A+,M,0
41685,3.12,72,A+,M,17
43091,3.12,9,0+,M,24
43769,3.12,41,AB+,M,4
41110,3.11,83,0+,M,4
41934,3.11,24,0-,M,2
42049,3.11,75,0-,M,18
43524,3.11,60,A+,M,16
43671,3.11,131,0-,M,0
44249,3.11,83,A-,M,8
44347,3.11,34,A+,M,4
44385,3.11,35,AB+,M,11
44891,3.11,27,A+,M,11
40850,3.10,26,0+,M,17
41002,3.10,108,A-,M,27
41854,3.10,95,B-,M,6
42643,3.10,4,0-,M,16
42910,3.10,91,0+,M,24
43141,3.10,128,A-,M,30
43271,3.10,41,AB+,M,10
44081,3.10,65,AB-,M,7
44880,3.10,74,0+,M,28
40961,3.09,114,A+,M,28
41807,3.09,101,0+,M,3
41959,3.09,45,A-,M,19
42194,3.09,72,0+,M,26
42569,3.09,12,A-,M,6
43032,3.09,2,A-,M,17
43281,3.09,52,AB+,M,16
43579,3.09,66,0+,M,25
43785,3.09,42,AB+,M,29
43835,3.09,44,B-,M,4
44019,3.09,48,A-,M,27
44055,3.09,107,B+,M,29
41115,3.08,55,A+,M,26
42633,3.08,107,A+,M,20
42637,3.08,53,0+,M,0
43411,3.08,65,0+,M,12
44404,3.08,87,0-,M,29
44712,3.08,119,A-,M,4
41656,3.07,142,0+,M,22
42244,3.07,119,0-,M,3
42676,3.07,126,A+,M,9
42984,3.07,30,A+,M,12
43789,3.07,18,A+,M,29
43791,3.07,71,0-,M,17
44176,3.07,105,AB-,M,19
42715,3.06,67,AB-,M,19
43768,3.06,122,B-,M,19
44032,3.06,41,B-,M,4
40563,3.05,123,A+,M,5
41048,3.05,126,A-,M,28
41872,3.05,114,A+,M,0
42584,3.05,77,0-,M,5
43969,3.05,24,A-,M,12
40513,3.04,30,0+,M,24
40766,3.04,8,0+,M,14
43041,3.04,20,A+,M,27
43998,3.04,107,B-,M,11
40925,3.03,54,0-,M,9
41345,3.03,34,B-,M,22
42854,3.03,58,A-,M,16
41659,3.02,32,A-,M,5
41846,3.02,73,B-,M,22
42492,3.02,14,B+,M,0
42791,3.02,82,0+,M,15
40488,3.01,84,A+,M,0
41242,3.01,113,0+,M,2
41655,3.01,25,0+,M,17
41804,3.01,92,A-,M,22
42087,3.01,83,A+,M,29
43348,3.01,68,A+,M,26
43510,3.01,49,0-,M,10
43909,3.01,57,0+,M,0
44147,3.01,48,0+,M,24
40847,3.00,55,0+,M,17
41073,3.00,37,A+,M,28
41636,3.00,76,B+,M,13
42862,3.00,56,B-,M,18
43061,3.00,53,0+,M,0
43197,3.00,45,0-,M,13
43329,3.00,75,0-,M,23
43382,3.00,109,0+,M,17
43720,3.00,74,A+,M,25
44230,3.00,109,B-,M,14
40595,2.99,10,B-,M,21
41118,2.99,23,B-,M,3
41296,2.99,70,A+,M,13
41484,2.99,20,A-,M,5
41496,2.99,43,A+,M,7
41726,2.99,59,A-,M,30
43049,2.99,114,A-,M,30
43105,2.99,124,A-,M,0
43138,2.99,64,A+,M,19
43545,2.99,117,AB+,M,23
44533,2.99,121,A-,M,14
42358,2.98,53,B+,M,29
43341,2.98,89,0+,M,25
43511,2.98,94,0+,M,2
40819,2.97,124,B-,M,28
42456,2.97,67,B-,M,5
42985,2.97,65,A-,M,29
43780,2.97,31,0-,M,13
44161,2.97,52,A-,M,5
44368,2.97,44,0+,M,1
40698,2.96,59,0+,M,29
41291,2.96,55,0-,M,9
42600,2.96,111,B-,M,7
43456,2.96,92,0+,M,11
44836,2.96,96,B+,M,16
40988,2.95,66,A+,M,2
41506,2.95,80,AB-,M,2
41891,2.95,109,A+,M,9
41963,2.95,62,A+,M,18
42138,2.95,23,0+,M,12
42484,2.95,79,A+,M,7
42557,2.95,65,A+,M,12
43101,2.95,85,0+,M,20
43635,2.95,100,A-,M,0
41072,2.94,55,B+,M,10
41150,2.94,54,0+,M,4
41897,2.94,57,AB-,M,17
41978,2.94,21,0+,M,30
43678,2.94,41,A+,M,8
44052,2.94,105,A+,M,28
44461,2.94,50,0+,M,23
44496,2.94,66,A+,M,21
44503,2.94,100,0+,M,26
40517,2.93,46,A+,M,8
40979,2.93,5,A+,M,16
41472,2.93,101,0+,M,19
41616,2.93,66,A+,M,19
41700,2.93,75,A+,M,10
43095,2.93,35,0-,M,11
43592,2.93,76,0-,M,17
43854,2.93,74,A-,M,19
44436,2.93,103,0+,M,14
44567,2.93,49,A+,M,8
41276,2.92,116,A-,M,8
41649,2.92,78,0+,M,10
42825,2.92,3,0-,M,0
42871,2.92,108,0+,M,12
43070,2.92,27,A+,M,25
43641,2.92,8,A+,M,7
40737,2.91,46,0+,M,22
40952,2.91,35,A-,M,4
41408,2.91,116,A+,M,2
41887,2.91,14,B-,M,27
42114,2.91,114,B-,M,0
42462,2.91,146,0+,M,16
42615,2.91,57,B+,M,22
42656,2.91,59,0+,M,14
42823,2.91,100,0+,M,11
42904,2.91,130,A+,M,20
43714,2.91,58,A+,M,6
44577,2.91,136,0+,M,0
44622,2.91,65,A+,M,28
41019,2.90,26,A-,M,25
41114,2.90,60,0-,M,29
41950,2.90,27,0-,M,11
44504,2.90,100,AB+,M,21
43313,2.89,76,B-,M,28
43620,2.89,116,B-,M,30
44413,2.89,49,A+,M,23
44586,2.89,46,A+,M,11
44676,2.89,93,A+,M,4
40486,2.88,120,A+,M,3
43283,2.88,3,B-,M,19
43585,2.88,148,0+,M,12
41310,2.87,101,A+,M,3
41504,2.87,87,0+,M,2
41516,2.87,73,A+,M,15
43950,2.87,49,A+,M,18
44129,2.87,123,0+,M,3
44379,2.87,72,A+,M,30
41039,2.86,86,A+,M,28
41612,2.86,19,B-,M,16
43305,2.86,115,0+,M,20
43389,2.86,142,B-,M,7
44817,2.86,36,B-,M,8
41416,2.85,30,0+,M,17
41554,2.85,121,A-,M,26
41764,2.85,109,A-,M,0
42990,2.85,42,B-,M,24
43301,2.85,90,0+,M,29
44809,2.85,35,A+,M,21
41302,2.84,114,0+,M,7
42072,2.84,3,A-,M,24
42261,2.84,59,B+,M,18
42796,2.84,53,0+,M,8
44423,2.84,138,B+,M,7
41043,2.83,50,A+,M,23
41124,2.83,98,B+,M,30
41381,2.83,87,0+,M,18
42209,2.83,24,0+,M,8
44857,2.83,52,A-,M,11
44876,2.83,45,0-,M,16
41507,2.82,4,0+,M,13
42170,2.82,57,A-,M,17
43676,2.82,64,0+,M,10
43843,2.82,88,A+,M,0
44179,2.82,14,0-,M,15
44333,2.82,126,AB-,M,16
40625,2.81,35,0+,M,11
42225,2.81,43,A-,M,1
43530,2.81,47,A+,M,24
43619,2.81,6,0+,M,7
44499,2.81,10,0-,M,8
44639,2.81,90,B-,M,30
40661,2.80,131,A+,M,9
41026,2.80,20,0+,M,9
41943,2.80,140,0+,M,9
42163,2.80,32,A+,M,8
42178,2.80,68,B-,M,9
42605,2.80,108,0-,M,13
43378,2.80,94,A+,M,19
43861,2.80,32,A+,M,17
44713,2.80,45,A-,M,7
41618,2.79,103,0+,M,24
42352,2.79,148,0+,M,25
42369,2.79,107,0+,M,16
42595,2.79,6,B+,M,23
44432,2.79,97,B-,M,30
44746,2.79,79,0+,M,29
40884,2.78,119,B+,M,8
41503,2.78,54,0+,M,20
41525,2.78,5,A+,M,5
41894,2.78,67,0+,M,17
43219,2.78,84,B+,M,11
44412,2.78,2,0+,M,22
44527,2.78,68,0+,M,10
40805,2.77,41,B-,M,21
41961,2.77,141,B-,M,1
43254,2.77,22,0+,M,11
43471,2.77,94,A+,M,11
43649,2.77,2,0-,M,10
44425,2.77,54,A+,M,18
44581,2.77,65,B+,M,0
40992,2.76,42,0-,M,16
41153,2.76,25,0+,M,20
41185,2.76,134,0+,M,2
42756,2.76,71,A+,M,4
43905,2.76,20,A+,M,1
44290,2.76,90,AB+,M,30
41151,2.75,41,A-,M,6
41448,2.75,85,0-,M,11
43779,2.75,19,A+,M,8
43817,2.75,110,0-,M,3
44532,2.75,102,A+,M,30
44689,2.75,99,A-,M,16
41904,2.74,11,A-,M,25
42427,2.74,68,A-,M,25
43067,2.74,25,B-,M,10
43878,2.74,93,A-,M,10
43945,2.74,106,0+,M,11
44635,2.74,109,0+,M,7
44826,2.74,124,0+,M,21
41840,2.73,95,B-,M,29
42570,2.73,13,0+,M,12
43124,2.73,136,0+,M,9
43403,2.73,60,0+,M,29
44289,2.73,34,A-,M,25
44430,2.73,83,0+,M,15
41901,2.72,54,A+,M,6
42416,2.72,125,A+,M,29
42863,2.72,141,B+,M,11
44281,2.72,57,AB+,M,23
40558,2.71,124,AB+,M,6
40758,2.71,112,0+,M,3
44001,2.71,21,A-,M,4
44073,2.71,35,A+,M,24
41426,2.70,37,AB+,M,12
41735,2.70,55,A+,M,4
42105,2.70,42,A+,M,11
42966,2.70,70,0+,M,8
40744,2.69,10,A+,M,5
41453,2.69,7,A+,M,19
41780,2.69,93,0-,M,28
41797,2.69,61,A-,M,12
41856,2.69,46,B+,M,19
42563,2.69,34,0+,M,11
42827,2.69,98,0+,M,24
43273,2.69,50,A+,M,9
44860,2.69,119,0+,M,24
41129,2.68,134,A+,M,10
41409,2.68,103,A+,M,15
42678,2.68,35,A-,M,10
42807,2.68,55,0+,M,30
43664,2.68,161,A-,M,9
44822,2.68,62,A+,M,20
44842,2.68,16,0+,M,11
41993,2.67,134,B+,M,16
42711,2.67,137,0+,M,16
43181,2.67,53,0+,M,10
44163,2.67,18,A+,M,7
44620,2.67,19,A+,M,9
44643,2.67,121,B-,M,17
40509,2.66,48,AB-,M,1
41183,2.66,113,A+,M,7
41915,2.66,130,B-,M,23
42253,2.66,119,0+,M,10
42389,2.66,100,0+,M,28
42408,2.66,162,A-,M,27
42555,2.66,33,A+,M,7
40481,2.65,51,B-,M,23
40927,2.65,127,A-,M,7
41789,2.65,32,A+,M,13
42189,2.65,57,B-,M,29
43669,2.65,100,0+,M,26
44416,2.65,29,0+,M,16
44602,2.65,104,0+,M,29
44624,2.65,24,A+,M,22
42239,2.64,56,A+,M,29
42636,2.64,42,A+,M,5
42779,2.64,135,B-,M,12
43609,2.64,54,0+,M,12
44076,2.64,74,A+,M,17
44237,2.64,16,0+,M,16
40483,2.63,54,A-,M,22
41461,2.63,26,A+,M,4
42271,2.63,88,A+,M,5
42497,2.63,83,A-,M,24
42578,2.63,118,A+,M,8
42729,2.63,21,B+,M,1
43151,2.63,67,0+,M,3
44263,2.63,130,0-,M,13
44297,2.63,135,0+,M,17
43464,2.62,5,0+,M,4
43777,2.62,9,0-,M,27
43808,2.62,29,0+,M,12
43949,2.62,127,A+,M,12
40939,2.61,70,A+,M,15
41260,2.61,84,0+,M,19
44696,2.61,126,0-,M,10
44734,2.61,70,A+,M,10
44816,2.61,68,0+,M,12
41277,2.60,27,A-,M,22
41304,2.60,114,0+,M,0
41850,2.60,55,0+,M,25
42135,2.60,25,A+,M,7
42312,2.60,61,0-,M,4
41236,2.59,56,A+,M,4
42288,2.59,10,AB+,M,19
42425,2.59,72,0+,M,28
42911,2.59,1,0-,M,12
43036,2.59,83,0+,M,16
43377,2.59,37,A-,M,30
44113,2.59,39,0+,M,24
40868,2.58,60,B-,M,11
42739,2.58,114,B-,M,27
42898,2.58,19,0-,M,17
43632,2.58,13,0+,M,20
41107,2.57,49,A+,M,5
41282,2.57,59,B-,M,27
41587,2.57,50,0+,M,25
41863,2.57,58,B-,M,13
41868,2.57,80,A+,M,17
44472,2.57,92,A+,M,17
40894,2.56,136,A-,M,0
43413,2.56,111,B-,M,3
44548,2.56,33,B+,M,4
41320,2.55,25,0+,M,26
43093,2.55,126,B+,M,15
43136,2.55,66,B+,M,22
43630,2.55,103,AB+,M,7
43978,2.55,170,A-,M,12
44149,2.55,95,B-,M,19
44906,2.55,48,AB-,M,27
42298,2.54,63,0+,M,4
42815,2.54,59,A+,M,15
44013,2.54,102,A+,M,22
44313,2.54,154,0-,M,30
40634,2.53,45,A-,M,11
40808,2.53,99,A+,M,27
41914,2.53,70,A+,M,28
42040,2.53,30,A+,M,28
42731,2.53,85,A-,M,17
42777,2.53,119,0+,M,5
42935,2.53,45,0+,M,9
42999,2.53,100,A+,M,25
44183,2.53,68,0+,M,12
44256,2.53,36,A+,M,16
41392,2.52,139,A+,Z,24
41512,2.52,44,B-,M,17
41960,2.52,39,0+,M,2
42647,2.52,59,0-,M,1
42670,2.52,16,0+,M,23
42774,2.52,11,0-,M,11
42993,2.52,54,A-,M,9
43227,2.52,46,A+,Z,12
44827,2.52,96,0+,M,10
44850,2.52,43,A+,Z,15
44871,2.52,17,A+,M,19
40507,2.51,55,A+,Z,2
41667,2.51,151,A+,Z,27
43075,2.51,166,A+,Z,21
43362,2.51,86,0+,M,21
43424,2.51,38,B+,M,25
43740,2.51,141,B+,M,0
40482,2.50,80,A+,M,21
40931,2.50,46,A+,M,12
41728,2.50,100,0+,M,25
42428,2.50,95,0+,M,10
43046,2.50,132,A-,M,3
43753,2.50,127,0+,Z,30
43919,2.50,39,0+,Z,0
44407,2.50,126,0+,Z,29
44915,2.50,36,0+,Z,0
44929,2.50,99,A+,Z,0
40477,2.49,52,AB+,M,26
40531,2.49,81,A-,M,20
41398,2.49,128,0+,M,16
41529,2.49,34,A+,Z,1
41792,2.49,132,0+,M,20
42345,2.49,123,A+,M,20
42968,2.49,75,AB+,Z,6
43563,2.49,124,B-,M,17
43708,2.49,94,A+,M,4
44177,2.49,39,A-,M,2
42022,2.48,49,0+,M,13
42038,2.48,52,0-,Z,5
42089,2.48,107,B+,Z,1
42713,2.48,29,0-,M,5
42916,2.48,66,A+,M,12
43698,2.48,25,AB-,M,15
44557,2.48,120,0+,Z,0
44890,2.48,51,0+,Z,23
40505,2.47,135,A-,Z,10
41843,2.47,36,0-,M,14
42228,2.47,13,0+,M,13
42489,2.47,156,B+,M,6
44007,2.47,45,B-,M,12
44106,2.47,129,A+,Z,2
44374,2.47,38,0+,M,12
44434,2.47,84,0+,Z,15
41182,2.46,70,B-,M,16
41334,2.46,55,A-,M,6
41935,2.46,57,A+,M,15
42036,2.46,135,0+,Z,13
42481,2.46,46,0+,Z,2
42860,2.46,100,B+,M,14
43532,2.46,118,0+,Z,1
44515,2.46,83,A+,Z,6
44933,2.46,130,A+,M,17
40458,2.45,54,0+,M,19
40704,2.45,68,A+,M,20
41499,2.45,46,B+,M,21
42147,2.45,127,B+,M,17
42770,2.45,43,0+,M,26
43149,2.45,92,0+,Z,22
43311,2.45,21,0+,Z,8
43482,2.45,104,A-,Z,16
43605,2.45,142,0+,M,18
44337,2.45,120,0+,Z,16
44815,2.45,27,A-,Z,30
40440,2.44,86,0-,Z,18
40854,2.44,143,A-,M,26
41468,2.44,138,B-,M,29
41853,2.44,89,0-,M,22
42628,2.44,123,AB-,Z,9
42788,2.44,41,A+,Z,18
42952,2.44,145,0+,M,24
43017,2.44,35,0-,M,19
43079,2.44,132,0-,Z,6
43712,2.44,69,A+,Z,17
44878,2.44,90,0+,M,19
41220,2.43,122,0-,M,13
42286,2.43,159,0+,M,0
42750,2.43,124,0+,Z,15
42884,2.43,67,B+,M,29
43350,2.43,26,0+,M,1
43410,2.43,121,A+,M,28
43968,2.43,81,0+,Z,27
44069,2.43,89,A+,M,15
44648,2.43,112,A-,M,11
40445,2.42,60,0+,M,14
40567,2.42,57,0+,Z,6
40857,2.42,46,A-,Z,15
41902,2.42,45,0-,Z,14
42266,2.42,26,0+,Z,4
42773,2.42,109,A-,Z,24
43801,2.42,55,A+,Z,11
44399,2.42,32,0-,M,19
44485,2.42,84,A-,M,2
40741,2.41,65,0+,M,23
42044,2.41,21,A+,M,17
43169,2.41,45,A+,M,14
43992,2.41,63,A-,M,0
44023,2.41,128,0+,M,10
44216,2.41,74,0-,M,14
42546,2.40,122,B-,Z,15
43477,2.40,15,0+,M,19
43662,2.40,41,0+,M,23
44308,2.40,70,B-,Z,13
44925,2.40,127,AB-,M,6
40450,2.39,90,A+,M,3
40471,2.39,35,0+,Z,12
40876,2.39,92,A+,Z,25
41389,2.39,149,A+,M,28
42123,2.39,48,AB+,M,0
42832,2.39,115,0-,Z,21
43419,2.39,102,0+,M,15
43893,2.39,134,B-,M,2
44190,2.39,139,0+,Z,14
44219,2.39,55,A-,M,7
44747,2.39,67,A-,M,11
44838,2.39,121,B+,Z,15
40512,2.38,155,B+,Z,4
41570,2.38,111,0+,M,23
41939,2.38,144,A+,M,23
44187,2.38,55,A+,Z,11
40848,2.37,114,A+,M,22
41007,2.37,87,A+,M,7
41449,2.37,43,0+,M,29
41699,2.37,54,A+,M,5
41926,2.37,134,AB+,M,14
42404,2.37,113,A-,Z,7
43045,2.37,135,0+,Z,27
43730,2.37,138,0-,M,27
43822,2.37,5,0+,M,28
40799,2.36,0,A+,M,14
40922,2.36,130,0-,Z,8
41841,2.36,141,0-,M,13
41879,2.36,35,0+,M,13
43337,2.36,97,A+,M,2
44020,2.36,71,A-,M,1
44036,2.36,79,B-,Z,30
44181,2.36,84,0+,M,0
44218,2.36,81,0+,M,18
40824,2.35,104,A+,M,20
40960,2.35,107,B+,Z,23
41328,2.35,69,0+,M,19
41399,2.35,63,A+,M,21
41403,2.35,93,A-,M,18
42140,2.35,122,0+,Z,3
42215,2.35,32,A+,Z,16
42276,2.35,44,0+,M,8
42651,2.35,69,A+,M,0
43607,2.35,120,0+,M,19
43663,2.35,7,A-,Z,2
43748,2.35,73,B-,Z,17
44141,2.35,159,A-,M,26
44644,2.35,75,A+,Z,23
44701,2.35,64,0+,M,22
40438,2.34,90,A+,M,12
41052,2.34,125,B-,Z,27
41653,2.34,60,0-,M,19
42709,2.34,68,A+,M,28
42913,2.34,129,A+,Z,1
42953,2.34,50,A+,Z,9
42967,2.34,68,A+,Z,24
43515,2.34,60,A+,M,22
43836,2.34,114,A+,M,6
43865,2.34,1,0+,M,27
44298,2.34,139,0+,M,4
44859,2.34,49,0+,M,30
40470,2.33,91,B-,M,21
42232,2.33,172,A-,M,3
42331,2.33,114,0+,Z,28
42701,2.33,142,0+,M,8
43285,2.33,6,0+,Z,3
43408,2.33,29,A+,M,24
44299,2.33,169,B-,M,6
44303,2.33,136,A+,Z,27
44926,2.33,78,0-,Z,23
41382,2.32,103,0+,M,1
41947,2.32,38,A+,Z,16
42914,2.32,60,A+,M,25
43455,2.32,123,0+,M,8
43659,2.32,4,0+,M,7
43757,2.32,85,B+,M,28
43917,2.32,124,A+,Z,21
44459,2.32,40,A+,Z,26
41105,2.31,145,A+,M,12
41430,2.31,149,A-,Z,29
41923,2.31,55,B+,M,30
42154,2.31,49,AB+,M,7
42341,2.31,142,0+,M,20
42759,2.31,105,0+,Z,23
42809,2.31,116,0-,M,7
43221,2.31,67,A-,Z,25
43319,2.31,17,B-,M,22
44044,2.31,107,A+,Z,13
44259,2.31,135,A+,M,25
44292,2.31,86,A+,M,1
44665,2.31,23,A+,M,10
44673,2.31,28,0+,M,9
40439,2.30,63,0-,M,20
40526,2.30,138,0-,Z,5
40793,2.30,64,B-,M,25
41015,2.30,126,A+,M,0
41431,2.30,69,A+,M,11
41435,2.30,0,A+,M,22
41551,2.30,62,A-,M,12
41563,2.30,79,0+,M,17
41701,2.30,11,0+,Z,30
42406,2.30,1,B+,Z,30
43078,2.30,138,A-,M,7
43289,2.30,20,A-,Z,28
43497,2.30,80,A+,M,27
43971,2.30,182,0+,M,17
41192,2.29,58,B-,M,0
42943,2.29,154,0+,Z,18
43604,2.29,147,0-,M,2
44096,2.29,150,B+,Z,25
44158,2.29,8,B-,M,6
44322,2.29,84,A-,M,7
44501,2.29,97,A+,Z,13
44841,2.29,23,A+,M,11
41237,2.28,6,A+,M,0
43187,2.28,98,B+,M,28
43689,2.28,74,B-,M,1
43853,2.28,163,B-,M,16
43996,2.28,97,0+,M,20
44251,2.28,20,B+,M,0
44354,2.28,34,A-,Z,18
40874,2.27,49,A-,Z,9
40984,2.27,67,0+,Z,20
41169,2.27,71,0+,M,23
41248,2.27,135,0+,M,25
41444,2.27,147,0+,M,16
42659,2.27,127,A+,M,28
42772,2.27,107,0+,Z,21
43168,2.27,106,A+,M,21
43333,2.27,48,B+,M,21
43462,2.27,89,0+,M,26
44762,2.27,32,0+,M,18
44773,2.27,69,A+,Z,17
44776,2.27,29,0+,M,16
40621,2.26,7,A+,Z,23
40827,2.26,153,0+,Z,17
41272,2.26,53,0+,Z,26
41295,2.26,56,B-,M,21
42473,2.26,130,0+,M,27
43135,2.26,73,0+,M,19
43598,2.26,30,0+,Z,1
43738,2.26,97,A-,M,20
43815,2.26,125,0-,M,30
41827,2.25,101,B+,Z,10
42743,2.25,58,B-,M,25
43085,2.25,121,B-,Z,14
43279,2.25,33,0-,Z,11
44306,2.25,107,A+,M,18
44779,2.25,127,B-,M,29
44818,2.25,147,0-,Z,13
40778,2.24,152,A+,Z,3
41095,2.24,86,0+,M,18
41415,2.24,166,A-,M,8
41594,2.24,97,A-,M,14
43112,2.24,61,0+,Z,3
43275,2.24,78,B+,M,0
